ticket_id,venue_name,venue_type,state,issue_category,priority,created_date,resolved_date,response_time_hrs,resolution_time_hrs,csat_score,assigned_agent
TICK1000,"Jackson, Miller and Gutierrez",Cafe,ACT,Payments,High,2024-12-15,2024-12-18,8.1,38.6,,Emily.T
TICK1001,"Watkins, Spence and Ramos",Restaurant,ACT,Menu Upload,Medium,2024-11-21,2024-11-26,4.8,40.6,1.0,Tom.R
TICK1002,Campos LLC,Bar,QLD,Payments,Medium,2024-11-09,2024-11-15,3.1,39.4,2.0,Emily.T
TICK1003,Holmes-Young,Restaurant,WA,Integrations,High,2025-01-16,2025-01-18,6.4,53.7,2.0,John.S
TICK1004,Wilson-Ward,Bar,VIC,Payments,Low,2024-06-06,2024-06-09,1.9,64.2,4.0,Mike.D
TICK1005,"Day, Stevens and Hutchinson",Pub,TAS,Technical Issue,Low,2025-03-02,2025-03-06,5.4,31.2,,Tom.R
TICK1006,"Esparza, Keller and Parker",Restaurant,NT,Technical Issue,High,2024-07-06,2024-07-11,3.7,19.5,5.0,Sarah.L
TICK1007,Harper-Lewis,Restaurant,NT,Payments,Medium,2024-11-20,2024-11-23,2.6,35.7,1.0,Tom.R
TICK1008,"Sanchez, Castillo and Cross",Restaurant,QLD,Technical Issue,High,2024-06-27,2024-07-04,6.1,27.2,4.0,Sarah.L
TICK1009,"Davidson, Rodriguez and Cole",Cafe,NT,Technical Issue,High,2024-05-02,2024-05-09,11.9,41.1,4.0,Emily.T
TICK1010,Mcguire-Brooks,Restaurant,TAS,Payments,Medium,2024-07-08,2024-07-14,10.7,49.5,4.0,Tom.R
TICK1011,Townsend-Gardner,Pub,VIC,Technical Issue,Medium,2024-12-05,2024-12-06,5.0,33.2,2.0,Emily.T
TICK1012,Ritter LLC,Restaurant,VIC,Technical Issue,Medium,2024-03-15,2024-03-22,3.3,11.1,,Emily.T
TICK1013,Ellis and Sons  ,Restaurant,SA,Payments,Medium,2024-10-29,2024-10-31,3.4,55.5,4.0,Tom.R
TICK1014,"Gilmore, Marquez and Hines",Cafe,QLD,Menu Upload,Medium,2024-10-06,2024-10-13,9.4,64.5,4.0,John.S
TICK1015,"Warren, Pena and Williams",Cafe,QLD,Integrations,Low,2024-07-24,2024-07-28,3.6,42.7,,Mike.D
